YR-MON,Silver,Silver-1,Silver-2,Silver-3,Silver-4,Silver-5,Silver-6,Copper,Copper-1,Copper-2,Copper-3,Copper-4,Copper-5,Copper-6,Steel,Steel-1,Steel-2,Steel-3,Steel-4,Steel-5,Steel-6,PriceIncrDate
2016-Sep,-0.018,-0.014,0.16,0.017,0.039,0.054,0.023,0.001,-0.03,0.053,-0.007,-0.033,-0.023,0.076,-0.019,0.007,0.001,0.003,0.047,0.051,0.016,0
2016-Oct,-0.08,-0.018,-0.014,0.16,0.017,0.039,0.054,0.001,0.001,-0.03,0.053,-0.007,-0.033,-0.023,-0.025,-0.019,0.007,0.001,0.003,0.047,0.051,0
2016-Nov,-0.018,-0.08,-0.018,-0.014,0.16,0.017,0.039,0.15,0.001,0.001,-0.03,0.053,-0.007,-0.033,0.016,-0.025,-0.019,0.007,0.001,0.003,0.047,0
2016-Dec,-0.06,-0.018,-0.08,-0.018,-0.014,0.16,0.017,0.04,0.15,0.001,0.001,-0.03,0.053,-0.007,0.038,0.016,-0.025,-0.019,0.007,0.001,0.003,0
2017-Jan,0.026,-0.06,-0.018,-0.08,-0.018,-0.014,0.16,0.023,0.04,0.15,0.001,0.001,-0.03,0.053,0.043,0.038,0.016,-0.025,-0.019,0.007,0.001,0
2017-Feb,0.063,0.026,-0.06,-0.018,-0.08,-0.018,-0.014,0.028,0.023,0.04,0.15,0.001,0.001,-0.03,0.012,0.043,0.038,0.016,-0.025,-0.019,0.007,0
2017-Mar,-0.016,0.063,0.026,-0.06,-0.018,-0.08,-0.018,-0.018,0.028,0.023,0.04,0.15,0.001,0.001,0.029,0.012,0.043,0.038,0.016,-0.025,-0.019,0
2017-Apr,0.027,-0.016,0.063,0.026,-0.06,-0.018,-0.08,-0.023,-0.018,0.028,0.023,0.04,0.15,0.001,-0.006,0.029,0.012,0.043,0.038,0.016,-0.025,0
2017-May,-0.072,0.027,-0.016,0.063,0.026,-0.06,-0.018,-0.013,-0.023,-0.018,0.028,0.023,0.04,0.15,0.008,-0.006,0.029,0.012,0.043,0.038,0.016,0
2017-Jun,0.011,-0.072,0.027,-0.016,0.063,0.026,-0.06,0.019,-0.013,-0.023,-0.018,0.028,0.023,0.04,0.001,0.008,-0.006,0.029,0.012,0.043,0.038,0
2017-Jul,-0.047,0.011,-0.072,0.027,-0.016,0.063,0.026,0.05,0.019,-0.013,-0.023,-0.018,0.028,0.023,0.009,0.001,0.008,-0.006,0.029,0.012,0.043,0
2017-Aug,0.047,-0.047,0.011,-0.072,0.027,-0.016,0.063,0.082,0.05,0.019,-0.013,-0.023,-0.018,0.028,-0.008,0.009,0.001,0.008,-0.006,0.029,0.012,0
2017-Sep,0.032,0.047,-0.047,0.011,-0.072,0.027,-0.016,0.015,0.082,0.05,0.019,-0.013,-0.023,-0.018,0.007,-0.008,0.009,0.001,0.008,-0.006,0.029,1
2017-Oct,-0.029,0.032,0.047,-0.047,0.011,-0.072,0.027,0.035,0.015,0.082,0.05,0.019,-0.013,-0.023,-0.019,0.007,-0.008,0.009,0.001,0.008,-0.006,0
2017-Nov,0.004,-0.029,0.032,0.047,-0.047,0.011,-0.072,-0.003,0.035,0.015,0.082,0.05,0.019,-0.013,-0.013,-0.019,0.007,-0.008,0.009,0.001,0.008,0
2017-Dec,-0.05,0.004,-0.029,0.032,0.047,-0.047,0.011,0.002,-0.003,0.035,0.015,0.082,0.05,0.019,0.02,-0.013,-0.019,0.007,-0.008,0.009,0.001,0
2018-Jan,0.062,-0.05,0.004,-0.029,0.032,0.047,-0.047,0.035,0.002,-0.003,0.035,0.015,0.082,0.05,0.022,0.02,-0.013,-0.019,0.007,-0.008,0.009,0
2018-Feb,-0.03,0.062,-0.05,0.004,-0.029,0.032,0.047,-0.011,0.035,0.002,-0.003,0.035,0.015,0.082,0.021,0.022,0.02,-0.013,-0.019,0.007,-0.008,0
2018-Mar,-0.011,-0.03,0.062,-0.05,0.004,-0.029,0.032,-0.03,-0.011,0.035,0.002,-0.003,0.035,0.015,0.024,0.021,0.022,0.02,-0.013,-0.019,0.007,0
2018-Apr,0.008,-0.011,-0.03,0.062,-0.05,0.004,-0.029,0.004,-0.03,-0.011,0.035,0.002,-0.003,0.035,0.029,0.024,0.021,0.022,0.02,-0.013,-0.019,0
2018-May,-0.008,0.008,-0.011,-0.03,0.062,-0.05,0.004,-0.005,0.004,-0.03,-0.011,0.035,0.002,-0.003,0.021,0.029,0.024,0.021,0.022,0.02,-0.013,0
2018-Jun,0.003,-0.008,0.008,-0.011,-0.03,0.062,-0.05,0.014,-0.005,0.004,-0.03,-0.011,0.035,0.002,0.015,0.021,0.029,0.024,0.021,0.022,0.02,0
2018-Jul,-0.049,0.003,-0.008,0.008,-0.011,-0.03,0.062,-0.102,0.014,-0.005,0.004,-0.03,-0.011,0.035,0.007,0.015,0.021,0.029,0.024,0.021,0.022,0
2018-Aug,-0.045,-0.049,0.003,-0.008,0.008,-0.011,-0.03,-0.036,-0.102,0.014,-0.005,0.004,-0.03,-0.011,0.002,0.007,0.015,0.021,0.029,0.024,0.021,0
2018-Sep,-0.049,-0.045,-0.049,0.003,-0.008,0.008,-0.011,0.003,-0.036,-0.102,0.014,-0.005,0.004,-0.03,0,0.002,0.007,0.015,0.021,0.029,0.024,0
2018-Oct,0.022,-0.049,-0.045,-0.049,0.003,-0.008,0.008,0.021,0.003,-0.036,-0.102,0.014,-0.005,0.004,-0.002,0,0.002,0.007,0.015,0.021,0.029,1
2018-Nov,-0.015,0.022,-0.049,-0.045,-0.049,0.003,-0.008,-0.006,0.021,0.003,-0.036,-0.102,0.014,-0.005,0.011,-0.002,0,0.002,0.007,0.015,0.021,0
